"STATISTIC Label","Quarter","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2020Q4","One bed","Semi detached house","Dublin","Euro","1171.91"
"RTB Average Monthly Rent Report","2020Q4","One bed","Terrace house","Dublin","Euro","1267.63"
"RTB Average Monthly Rent Report","2020Q4","One bed","Apartment","Dublin","Euro","1447.47"
"RTB Average Monthly Rent Report","2020Q4","Two bed","Semi detached house","Dublin","Euro","1691.12"
"RTB Average Monthly Rent Report","2020Q4","Two bed","Terrace house","Dublin","Euro","1678.96"
"RTB Average Monthly Rent Report","2020Q4","Two bed","Apartment","Dublin","Euro","1800.74"
"RTB Average Monthly Rent Report","2020Q4","Three bed","Semi detached house","Dublin","Euro","1846.5"
"RTB Average Monthly Rent Report","2020Q4","Three bed","Terrace house","Dublin","Euro","1909.63"
"RTB Average Monthly Rent Report","2020Q4","Three bed","Apartment","Dublin","Euro","2153.05"
"RTB Average Monthly Rent Report","2021Q1","One bed","Semi detached house","Dublin","Euro","1163.36"
"RTB Average Monthly Rent Report","2021Q1","One bed","Terrace house","Dublin","Euro","1290.18"
"RTB Average Monthly Rent Report","2021Q1","One bed","Apartment","Dublin","Euro","1451.56"
"RTB Average Monthly Rent Report","2021Q1","Two bed","Semi detached house","Dublin","Euro","1693.94"
"RTB Average Monthly Rent Report","2021Q1","Two bed","Terrace house","Dublin","Euro","1672.75"
"RTB Average Monthly Rent Report","2021Q1","Two bed","Apartment","Dublin","Euro","1811.09"
"RTB Average Monthly Rent Report","2021Q1","Three bed","Semi detached house","Dublin","Euro","1872.69"
"RTB Average Monthly Rent Report","2021Q1","Three bed","Terrace house","Dublin","Euro","1922.66"
"RTB Average Monthly Rent Report","2021Q1","Three bed","Apartment","Dublin","Euro","2193.45"
"RTB Average Monthly Rent Report","2021Q2","One bed","Semi detached house","Dublin","Euro","1155.57"
"RTB Average Monthly Rent Report","2021Q2","One bed","Terrace house","Dublin","Euro","1302.86"
"RTB Average Monthly Rent Report","2021Q2","One bed","Apartment","Dublin","Euro","1445.2"
"RTB Average Monthly Rent Report","2021Q2","Two bed","Semi detached house","Dublin","Euro","1703.06"
"RTB Average Monthly Rent Report","2021Q2","Two bed","Terrace house","Dublin","Euro","1676.83"
"RTB Average Monthly Rent Report","2021Q2","Two bed","Apartment","Dublin","Euro","1812.91"
"RTB Average Monthly Rent Report","2021Q2","Three bed","Semi detached house","Dublin","Euro","1889.85"
"RTB Average Monthly Rent Report","2021Q2","Three bed","Terrace house","Dublin","Euro","1948.33"
"RTB Average Monthly Rent Report","2021Q2","Three bed","Apartment","Dublin","Euro","2211.96"
"RTB Average Monthly Rent Report","2021Q3","One bed","Semi detached house","Dublin","Euro","1153.3"
"RTB Average Monthly Rent Report","2021Q3","One bed","Terrace house","Dublin","Euro","1319.41"
"RTB Average Monthly Rent Report","2021Q3","One bed","Apartment","Dublin","Euro","1458.6"
"RTB Average Monthly Rent Report","2021Q3","Two bed","Semi detached house","Dublin","Euro","1715.01"
"RTB Average Monthly Rent Report","2021Q3","Two bed","Terrace house","Dublin","Euro","1692.94"
"RTB Average Monthly Rent Report","2021Q3","Two bed","Apartment","Dublin","Euro","1839.49"
"RTB Average Monthly Rent Report","2021Q3","Three bed","Semi detached house","Dublin","Euro","1923.23"
